夏色えがおで1,2,Jump！	LL01-064	0097	【ライブ中】この《ライブ》に参加している、ライブ衣装が「夏色えがおで1,2,Jump！」の名前が異なるメンバー３人につき、♪ライブP＋３♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_064_b.jpg	スマイル	0+X	2	2	2	－
もぎゅっと“love”で接近中！	LL01-065	0098	【ライブ参加時】この《ライブ》に参加する、ライブ衣装が「もぎゅっと“love”で接近中！」の名前が異なるメンバー１人につき、共通スコアが１減る。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_065_b.jpg	オール	3	-	-	-	10
愛してるばんざーい！	LL01-066	0099	大好きだばんざーい！ 頑張れるから　昨日に手をふって　ほら前向いて	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_066_b.jpg	オール	4	-	-	-	11
それは僕たちの奇跡／だってだって噫無情	LL01-067	0100	ただの思い出　それだけじゃいやだよ 精一杯　力の限り走るんだ（Chance for me! Chance for you!）	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_067_b.jpg	クール	1	-	-	-	3
どんなときもずっと／COLORFUL VOICE	LL01-068	0101	嬉しいから　君に会いに行こう 寂しいから　君に会いに行こう（会いに行くよ）	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_068_b.jpg	ピュア	2	-	-	-	5
ススメ→トゥモロウ／START:DASH!!	LL01-069	0102	だって可能性感じたんだ　そうだ…ススメ！ 後悔したくない　目の前に僕らの道がある	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_069_b.jpg	スマイル	3	-	-	-	8
これからのSomeday／Wonder zone	LL01-070	0103	【ライブ成功時】もう１回ターンを行う。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_070_b.jpg	ピュア	1	2	2	1	－
No brand girls／START:DASH!!	LL01-071	0104	【ライブ成功時】次のあなたのターンを１回休む。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_071_b.jpg	クール	2	1	1	1	－
Angelic Angel／Hello,星を数えて	LL01-072	0105	【ライブ中】この《ライブ》に参加している全員が『１年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_072_b.jpg	ピュア	3+1	3	3	2	－
SUNNY DAY SONG／？←HEARTBEAT	LL01-073	0106	【ライブ中】この《ライブ》に参加している全員が『３年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_073_b.jpg	クール	3+1	2	3	3	－
僕たちはひとつの光／Future style	LL01-074	0107	【ライブ中】この《ライブ》に参加している全員が『２年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_074_b.jpg	スマイル	3+1	3	2	3	－
μ's Best Album Best Live! Collection Ⅱ	LL01-075	0108	【ライブ中】この《ライブ》に「穂乃果」「絵里」「ことり」「海未」「凛」「真姫」「希」「花陽」「にこ」が参加しているなら、♪ライブP＋９♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_01/ll_01_075_b.jpg	オール	1+9	7	7	7	－
Snow halation	LL02-064	0194	【ライブ中】全員の目標ライブＰを＋１する。（もともとの目標ライブＰが９点なら、１０点になる。）	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_064_b.jpg	オール	3	2	2	3	－
Wonderful Rush	LL02-065	0195	【ライブ成功時】この《ライブ》にライブ衣装が「Wonderful Rush」の名前が異なるメンバーが２人以上参加しているなら、手札から【☆】を持たないメンバー１人を《登場》してよい。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_065_b.jpg	オール	3	3	2	3	－
Oh,Love＆Peace!	LL02-066	0196	【ライブ成功時】カードを２枚引く。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_066_b.jpg	スマイル	2	2	2	1	－
baby maybe 恋のボタン	LL02-067	0197	【ライブ中】この《ライブ》にメンバーが５人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_067_b.jpg	ピュア	2+1	2	2	2	－
Mermaid festa vol.1	LL02-068	0198	【ライブ中】あなたが５枚以上の楽曲カードをライブ中なら、♪ライブP＋１♪する。（ライブ成功後に楽曲カードの枚数が５枚以上になっても追加ライブＰがもらえる。）	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_068_b.jpg	クール	2+1	2	2	2	－
ユメノトビラ／SENTIMENTAL StepS	LL02-069	0199	ユメノトビラ ずっと探し続けた 君と僕とのつながりを探してた	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_069_b.jpg	ピュア	3	2	3	2	－
Love wing bell／Dancing stars on me!	LL02-070	0200	誰でも可愛くなれる？ きっとなれるよ こんな私でさえも…変身！	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_070_b.jpg	クール	2	1	1	2	－
KiRa-KiRa Sensation!／Happy maker!	LL02-071	0201	どんな明日が待ってるんだろう？なんてね （僕は）僕たちは少しずつ手探りしてた	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_071_b.jpg	スマイル	4	3	3	3	－
タカラモノズ／Paradise Live	LL02-072	0202	【ライブ中】この《ライブ》に参加しているメンバーがそれぞれ名前が異なるなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_072_b.jpg	オール	4+1	4	4	3	－
永遠フレンズ／小夜啼鳥恋詩	LL02-073	0203	【ライブ中】この《ライブ》に参加している全員が「Printemps」のメンバー（「穂乃果」「ことり」「花陽」）で、３人全員がそろって参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_073_b.jpg	スマイル	3+1	3	4	1	－
秋のあなたの空遠く／ふたりハピネス	LL02-074	0204	【ライブ中】この《ライブ》に参加している全員が「lily white」のメンバー（「海未」「凛」「希」）で、３人全員がそろって参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_074_b.jpg	ピュア	3+1	2	3	3	－
冬がくれた予感／Trouble Busters	LL02-075	0205	【ライブ中】この《ライブ》に参加している全員が「BiBi」のメンバー（「絵里」「真姫」「にこ」）で、３人全員がそろって参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_02/ll_02_075_b.jpg	クール	3+1	3	1	4	－
僕らのLIVE 君とのLIFE	LL03-064	287	【ライブ成功時】これがあなたの最初の《ライブ》なら、カードを１枚引く。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_064_b.jpg	オール	1	1	1	1	－
友情ノーチェンジ	LL03-065	288	【ライブ参加時】この《ライブ》にすべて同じ名前のメンバーが参加するか、この《ライブ》に名前が異なるメンバーが５人以上参加するなら、この《ライブ》に参加するメンバー１人に＋【オール】【オール】【オール】する。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_065_b.jpg	ピュア	4	4	4	4	－
僕らは今のなかで／WILD STARS	LL03-066	289	【ライブ成功時】この《ライブ》に参加している、ライブ衣装が「僕らは今のなかで」の名前が異なるメンバー１人につき、セットリストにある裏向きのカード１枚を表向きにする。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_066_b.jpg	オール	2	-	-	-	6
きっと青春が聞こえる／輝夜の城で踊りたい	LL03-067	290	きっと青春が聞こえる その瞬間に聞こえる 笑顔ならいつの日も大丈夫!	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_067_b.jpg	ピュア	2	1	2	1	－
Music S.T.A.R.T!!／LOVELESS WORLD	LL03-068	291	【ライブ成功時】この《ライブ》に参加している、ライブ衣装が「Music S.T.A.R.T!!」の名前が異なるメンバー３人につき、もう１回ターンを行う。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_068_b.jpg	クール	4	4	2	4	－
Shangri-La Shower／るてしキスキしてる	LL03-069	292	Festival 終わらない奇跡は Festival 私たちの夢(Hey!) だっていつまでも Dancing Dancing! Dance my beat!	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_069_b.jpg	スマイル	4	4	3	2	－
ミはμ'sicのミ／Super LOVE=Super LIVE!	LL03-070	293	μ'sic forever! 忘れないで 君と僕の足跡	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_070_b.jpg	クール	4	3	2	4	－
HEART to HEART!	LL03-071	294	【ライブ成功時】この《ライブ》に参加している名前が異なるメンバー１人につき、カードを１枚引く。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_071_b.jpg	スマイル	2	-	-	-	6
WAO-WAO Powerful day!	LL03-072	295	【ライブ参加時】この《ライブ》に参加している全員が「Printemps」のメンバー（「穂乃果」「ことり」「花陽」）なら、共通スコアが３減る。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_072_b.jpg	スマイル	4	-	-	-	13
思い出以上になりたくて	LL03-073	296	【ライブ参加時】この《ライブ》に参加している全員が「lily white」のメンバー（「海未」「凛」「希」）なら、共通スコアが３減る。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_073_b.jpg	ピュア	4	-	-	-	13
錯覚CROSSROADS	LL03-074	297	【ライブ参加時】この《ライブ》に参加している全員が「BiBi」のメンバー（「絵里」「真姫」「にこ」）なら、共通スコアが３減る。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_074_b.jpg	クール	4	-	-	-	13
MOMENT RING	LL03-075	298	【ライブ成功時】あなたの獲得ライブＰと目標ライブＰとの差が４点以下なら、このゲームの間、♪ライブP＋∞♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_03/ll_03_075_b.jpg	オール	0+∞	3	3	3	－
君のこころは輝いてるかい？	LL04-055	414	【ライブ参加時】この《ライブ》に参加する、ライブ衣装が「君のこころは輝いてるかい？」のメンバー全員に＋【オール】する。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_055_b.jpg	オール	4	4	4	4	－
Step! ZERO to ONE	LL04-056	415	【ライブ成功時】カードを２枚引く。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_056_b.jpg	クール	2	1	2	2	－
Aqours☆HEROES	LL04-057	416	－	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_057_b.jpg	スマイル	1	-	-	-	3
恋になりたいAQUARIUM	LL04-058	417	【ライブ参加時】この《ライブ》に参加する全員が「Aqours」のメンバーなら、共通スコアが２減る。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_058_b.jpg	オール	4	-	-	-	12
待ってて愛のうた	LL04-059	418	－	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_059_b.jpg	ピュア	4	-	-	-	11
届かない星だとしても	LL04-060	419	【ライブ参加時】あなたの手札が１枚もないなら、通常スコアが【１１１】になる。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_060_b.jpg	スマイル	2	2	1	2	－
夜空はなんでも知ってるの？	LL04-061	420	【ライブ中】あなたやあいてが《勧誘》によってカードを引くなら、カードを引く枚数の上限に＋１する。（手札が４枚になるまでカードを引くなら、代わりに５枚になるまで引く。）	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_061_b.jpg	ピュア	2	1	2	1	－
ときめき分類学	LL04-062	421	【ライブ参加時】この《ライブ》に参加する、【LIVE】を持つメンバー全員に＋【オール】する。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_062_b.jpg	クール	3	2	3	3	－
Guilty Night, Guilty Kiss!	LL04-063	422	【ライブ成功時】もう１回ターンを行う。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_063_b.jpg	クール	1	2	1	2	－
青空Jumping Heart	LL04-064	423	【ライブ成功時】この《ライブ》に「Aqours」のメンバーが５人以上参加しているなら、手札から【☆】を持たないメンバー１人を《登場》してよい。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_064_b.jpg	オール	4	4	3	3	－
ハミングフレンド	LL04-065	424	【ライブ参加時】この《ライブ》に参加するメンバーが同じ種類のピース（【赤】か【緑】か【青】か【オール】）を合計４個以上持つなら、共通スコアが２減る。	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_065_b.jpg	スマイル	2	-	-	-	6
ユメ語るよりユメ歌おう	LL04-066	425	【ライブ参加時】あなたのライブ中の楽曲カード１枚につき、共通スコアが１減る。（この楽曲カードは枚数に含めない。）	http://lovelive-sic.com/cardlist/cardimages/ll_04/ll_04_066_b.jpg	ピュア	3	-	-	-	9
青空Jumping Heart	LL05-055	535	いつものセカイが　あたらしい扉を （もっと）　隠してるの （Let's go!）　ぜんぶ開けたいよ　ほら、いっしょにね！	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_055_b.jpg	オール	4	3	3	3	－
決めたよHand in Hand	LL05-056	536	【ライブ中】この《ライブ》に参加している全員が『２年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_056_b.jpg	スマイル	3+1	3	3	2	－
ダイスキだったらダイジョウブ！	LL05-057	537	【ライブ中】この《ライブ》に参加しているメンバーがちょうど３人なら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_057_b.jpg	オール	1+1	1	1	1	－
ユメ語るよりユメ歌おう	LL05-058	538	ユメを語る言葉より　ユメを語る歌にしよう それならば今を伝えられる気がするから	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_058_b.jpg	ピュア	3	2	3	2	－
サンシャインぴっかぴか音頭	LL05-059	539	【ライブ成功時】あなたとすべてのあいては自分のステージにいる名前が異なるメンバーを数える。それがもっとも少なかった人が１人なら、その人はカードを２枚引く。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_059_b.jpg	クール	3	-	-	-	8
夢で夜空を照らしたい	LL05-060	540	【ライブ中】この《ライブ》に参加している全員が『１年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_060_b.jpg	ピュア	3+1	2	3	3	－
未熟DREAMER	LL05-061	541	【ライブ中】この《ライブ》に参加している全員が『３年生』で、名前が異なるメンバーが３人以上参加しているなら、♪ライブP＋１♪する。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_061_b.jpg	オール	3+1	3	2	3	－
想いよひとつになれ	LL05-062	542	想いよひとつになれ どこにいても同じ明日を信じてる	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_062_b.jpg	クール	2	1	1	2	－
MIRAI TICKET	LL05-063	543	【ライブ成功時】この《ライブ》に参加している全員が「Aqours」のメンバーなら、もう１回ターンを行う。	http://lovelive-sic.com/cardlist/cardimages/ll_05/ll_05_063_b.jpg	スマイル	3	3	3	3	－
僕らは今のなかで／WILD STARS	EX01-028	0028	（恐がる癖は捨てちゃえ）とびきりの笑顔で （飛んで飛んで高く）僕らは今のなかで	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_028_b.jpg	スマイル	3	3	2	2	－
それは僕たちの奇跡／だってだって噫無情	EX01-029	0029	さあ…夢を叶えるのはみんなの勇気 負けない（こころで）明日へ駈けて行こう	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_029_b.jpg	スマイル	2	2	1	1	－
Snow halation	EX01-030	0030	届けて 切なさには名前をつけようか “Snow halation”	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_030_b.jpg	クール	3	2	2	3	－
Wonderful Rush	EX01-031	0031	これからの Wonderful Rush みんな幸せになるため 新しい世界 探しに行こうよ	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_031_b.jpg	クール	4	3	3	3	－
もぎゅっと“love”で接近中！	EX01-032	0032	恋の魔法どこかで　信じてちゃいけない？ ダイスキの奇跡を　どうか…（今日は）起こしてよ	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_032_b.jpg	ピュア	4	2	4	3	－
タカラモノズ／Paradise Live	EX01-033	0033	【ライブ成功時】この《ライブ》に参加している、ライブ衣装が「タカラモノズ」の名前が異なるメンバー１人につき、カードを２枚引く。	http://lovelive-sic.com/cardlist/cardimages/ex_01/ex_01_033_b.jpg	ピュア	2	2	2	2	－
君のこころは輝いてるかい?	EX03-028	354	君のこころは輝いてるかい？ 胸に聞いたら"Yes!!" と答えるさ	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_028_b.jpg	ピュア	3	-	-	-	8
恋になりたいAQUARIUM	EX03-029	355	空色カーテン Open!　海色ゲート Welcome! あ・そ・び・ま・しょう	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_029_b.jpg	クール	2	-	-	-	5
元気全開DAY!DAY!DAY!	EX03-030	356	今日はどんな日かな（どんな日だ？DAY!DAY!DAY!） あ～絶対、元気全開DAY!!	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_030_b.jpg	スマイル	2	2	1	1	－
トリコリコPLEASE!!	EX03-031	357	「シアワセにしちゃうからね」 もしかしたらこれが正解なの？　アイの呪文	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_031_b.jpg	ピュア	4	3	3	3	－
Strawberry Trapper	EX03-032	358	奪いたいキミのこと 待ってないよ　甘い甘い berry 心に赤の誘惑 Berry Trapper　狙い定めたよ	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_032_b.jpg	クール	3	2	2	3	－
青空Jumping Heart	EX03-033	359	【ライブ成功時】この《ライブ》に参加している、名前が異なる「Aqours」のメンバー（「千歌」「梨子」「果南」「ダイヤ」「曜」「善子」「花丸」「鞠莉」「ルビィ」）１人につき、カードを１枚引く。	http://lovelive-sic.com/cardlist/cardimages/ex_03/ex_03_033_b.jpg	スマイル	4	-	-	-	12
みんなで歌おう♪	PR-012	121	【ライブ成功時】このゲームに参加している全員が今日カラオケに行っていたなら、全員がカードを２枚引く。	http://lovelive-sic.com/cardlist/cardimages/pr/pr_012_b.jpg	オール	4	3	3	3	－
MOMENT RING	PR-032	317	【ライブ参加時】この《ライブ》に参加するメンバーがそれぞれ名前が異なるなら、参加するメンバー１人につき、共通スコアが１減る。	http://lovelive-sic.com/cardlist/cardimages/pr/ll_pr_032_b.jpg	－	－	－	－	－	－
高海 千歌	PR-042	318	－	http://lovelive-sic.com/cardlist/cardimages/pr/pr_042_b.jpg	－	－	－	－	－	－
